,start,mid,end,grade,user_grade,is_benchmark,repeats,url
367892,"[[0, 4], [3, 5]]","[[4, 8], [0, 8], [2, 12], [3, 14]]","[[0, 17]]",1,,False,1,https://moonboard.com/Problems/View/367892/cats-are-furry-children
367885,"[[0, 4]]","[[1, 7], [3, 11], [5, 13]]","[[8, 17]]",2,,False,1,https://moonboard.com/Problems/View/367885/gulag
367880,"[[5, 4], [8, 3]]","[[7, 7], [7, 9], [7, 12], [4, 14]]","[[6, 17]]",0,,False,1,https://moonboard.com/Problems/View/367880/smashing-tasha-6b
367874,"[[5, 4]]","[[4, 7], [1, 10], [4, 12], [6, 12], [6, 16]]","[[6, 17]]",0,,False,4,https://moonboard.com/Problems/View/367874/mini-magnum
367871,"[[5, 4]]","[[3, 16], [6, 12], [6, 10]]","[[2, 17]]",2,,False,1,https://moonboard.com/Problems/View/367871/la-crisis-del-papel
367848,"[[1, 2], [5, 4]]","[[3, 8], [1, 9], [7, 9], [5, 13]]","[[6, 17]]",0,,False,4,https://moonboard.com/Problems/View/367848/escalator-truck-mouse
367847,"[[1, 2], [5, 4]]","[[3, 8], [1, 8], [4, 10], [7, 11], [4, 14]]","[[6, 17]]",0,,False,1,https://moonboard.com/Problems/View/367847/getinthehole
367846,"[[5, 4]]","[[3, 11], [0, 13], [4, 7]]","[[4, 17]]",1,,False,3,https://moonboard.com/Problems/View/367846/return-to-16
367844,"[[5, 4]]","[[7, 9], [3, 10], [2, 6], [5, 14]]","[[4, 17]]",1,,False,3,https://moonboard.com/Problems/View/367844/remote-learned
367828,"[[6, 1], [5, 4]]","[[2, 7], [5, 10], [2, 12], [4, 14]]","[[3, 17]]",0,,False,5,https://moonboard.com/Problems/View/367828/jug-pullin
367827,"[[6, 3], [4, 5]]","[[6, 8], [5, 11], [8, 13]]","[[6, 17]]",1,,False,1,https://moonboard.com/Problems/View/367827/sickboy
367784,"[[10, 4]]","[[9, 7], [7, 9], [5, 13]]","[[6, 17]]",0,,False,3,https://moonboard.com/Problems/View/367784/she-s-only-17
367771,"[[5, 4], [6, 1]]","[[6, 8], [7, 9], [4, 10], [6, 12], [4, 14], [6, 16]]","[[6, 17]]",0,,False,8,https://moonboard.com/Problems/View/367771/taylor
367741,"[[1, 3], [5, 4]]","[[4, 7], [7, 10], [4, 14]]","[[6, 17]]",0,,False,1,https://moonboard.com/Problems/View/367741/michael-la-von-robinson
367733,"[[9, 4], [10, 4]]","[[9, 7], [7, 9], [8, 12], [5, 13]]","[[6, 17]]",0,,False,7,https://moonboard.com/Problems/View/367733/come-on-jes
367724,"[[8, 4], [9, 1]]","[[9, 6], [6, 7], [6, 8], [4, 9], [6, 12], [4, 14]]","[[6, 17], [4, 17]]",0,,False,1,https://moonboard.com/Problems/View/367724/%E3%85%87%E3%85%87%E3%85%87
367714,"[[6, 1], [5, 4]]","[[4, 7], [8, 9], [7, 11], [8, 13], [4, 15], [6, 16]]","[[3, 17]]",0,,False,7,https://moonboard.com/Problems/View/367714/tea-time-of-the-soul
367713,"[[10, 4]]","[[9, 7], [8, 9], [3, 11], [4, 14], [7, 10], [3, 16]]","[[6, 17]]",0,,False,3,https://moonboard.com/Problems/View/367713/rectanglea
367707,"[[5, 4], [6, 1]]","[[7, 8], [4, 10], [8, 11], [4, 13], [8, 15], [7, 6]]","[[6, 17]]",1,,False,2,https://moonboard.com/Problems/View/367707/iso-bump
367694,"[[5, 4]]","[[6, 7], [4, 7], [7, 9], [4, 9], [6, 12], [8, 13], [5, 13], [4, 14]]","[[6, 17], [4, 17]]",0,,False,5,https://moonboard.com/Problems/View/367694/the-real-easiest-moonprob
367675,"[[10, 4], [5, 4]]","[[6, 8], [4, 9], [6, 12], [4, 14]]","[[6, 17]]",0,,False,3,https://moonboard.com/Problems/View/367675/out-of-quarentine
367662,"[[6, 1]]","[[5, 4], [4, 6], [7, 7], [7, 9], [4, 9], [4, 12], [6, 11], [6, 12], [5, 13], [4, 15], [3, 14], [3, 16]]","[[3, 17]]",0,,False,2,https://moonboard.com/Problems/View/367662/%E3%83%8F%E3%83%AB%E3%83%92
367660,"[[5, 4]]","[[4, 7], [1, 9], [4, 11], [4, 12], [4, 14]]","[[3, 17]]",0,,False,11,https://moonboard.com/Problems/View/367660/parks-victoria
367659,"[[10, 4]]","[[10, 8], [7, 10], [9, 12], [6, 14]]","[[10, 17]]",0,,False,3,https://moonboard.com/Problems/View/367659/quarentine
367658,"[[5, 4], [8, 4]]","[[5, 8], [2, 9], [2, 14], [4, 12]]","[[4, 17]]",0,,False,4,https://moonboard.com/Problems/View/367658/tess-variation
367652,"[[10, 4]]","[[6, 7], [5, 10], [3, 11], [3, 14]]","[[0, 17]]",1,,False,3,https://moonboard.com/Problems/View/367652/amadeusamadeus
367643,"[[7, 4], [8, 3]]","[[9, 7], [7, 10], [6, 12], [2, 12], [4, 13], [1, 15]]","[[3, 17]]",0,,False,3,https://moonboard.com/Problems/View/367643/harissa
367642,"[[6, 1], [5, 5]]","[[4, 7], [4, 10], [4, 12], [8, 13], [8, 14], [10, 15]]","[[10, 17]]",0,,False,1,https://moonboard.com/Problems/View/367642/fenugreek
